Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,Trans by Customers,Department,SubDpto,Category
10/1/2024,4400004059,BELVITA,BELVITA BREAKFAST CRANBERRY ORANGE 5-1.76 oz,$4.79,$3.00,37.41%,3,3,3,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/25/2024,4400002827,BELVITA,BELVITA BREAKFAST GOLDEN OAT 8.8 oz,$4.79,$3.00,37.41%,2,2,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/26/2024,4400002827,BELVITA,BELVITA BREAKFAST GOLDEN OAT 8.8 oz,$4.79,$3.00,37.41%,2,2,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/27/2024,4400002827,BELVITA,BELVITA BREAKFAST GOLDEN OAT 8.8 oz,$4.79,$3.00,37.41%,5,5,4,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/28/2024,4400002827,BELVITA,BELVITA BREAKFAST GOLDEN OAT 8.8 oz,$4.79,$3.00,37.41%,2,2,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/29/2024,4400002827,BELVITA,BELVITA BREAKFAST GOLDEN OAT 8.8 oz,$4.79,$3.00,37.41%,5,4,3,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/30/2024,4400002827,BELVITA,BELVITA BREAKFAST GOLDEN OAT 8.8 oz,$4.79,$3.00,37.41%,6,5,4,GROCERY FOOD,GALLETAS,GALLETAS AVENA
10/1/2024,4400002827,BELVITA,BELVITA BREAKFAST GOLDEN OAT 8.8 oz,$4.79,$3.00,37.41%,6,6,4,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/25/2024,4400005015,BELVITA,BELVITA BREAKFAST TOASTED COCONUT 5-1.76 oz,$4.79,$3.00,37.41%,2,2,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/26/2024,4400005015,BELVITA,BELVITA BREAKFAST TOASTED COCONUT 5-1.76 oz,$4.79,$3.00,37.41%,6,4,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/27/2024,4400005015,BELVITA,BELVITA BREAKFAST TOASTED COCONUT 5-1.76 oz,$4.79,$3.00,37.41%,1,1,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/28/2024,4400005015,BELVITA,BELVITA BREAKFAST TOASTED COCONUT 5-1.76 oz,$4.79,$3.00,37.41%,4,4,4,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/29/2024,4400005015,BELVITA,BELVITA BREAKFAST TOASTED COCONUT 5-1.76 oz,$4.79,$3.00,37.41%,3,3,3,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/30/2024,4400005015,BELVITA,BELVITA BREAKFAST TOASTED COCONUT 5-1.76 oz,$4.79,$3.00,37.41%,4,3,3,GROCERY FOOD,GALLETAS,GALLETAS AVENA
